2MON,Deux Montagnes
CVIN,Gare Cornavin
CVRN,Chevrens
CVUE,Claire-Vue
CXAB,Croix d'Ambilly
CXCE,Collex-Centre
CXEC,Collex-Ecole
CYDN,Chancy-Douane
CYMA,Cologny-Mairie
CYNO,Cynodrome
CYNT,Cessy-Centre
CYPR,Cyprès
CYRA,Chancy-Raclerets
CYTE,Cologny-Temple
CYUS,Chancy-Usine
CYVI,Chancy-Village
CZDN,Croix-de-Rozon-Dne
CZPL,Croix-de-Rozon-Place
DARD,Dardagny
DEHA,De Haller
DELC,Délices
DLAY,Delay
DODE,La Dode
DOLE,Dôle
DOUZ,Chandouze
DRIZ,Drize
DSTA,Lycée De Staël
DUCH,Dusonchet
DWES,De-Westerweller
EAUM,Eaumorte
ECOG,Ecogia
ECU0,Ecu
EDVA,Vallet
EGRU,Eglise Russe
EMED,Ecole-Médecine
ENVE,Entrée-Versoix
EPIN,Epinettes
ESRT,Les Esserts
ESSE,Essertet
ESTR,Essertines
ETOI,P+R Etoile
EURO,Europe
EVAU,Evaux
EVOR,Evordes
FALQ,Falquets
FAVR,Place Favre
FAYA,Les Fayards
FDUS,Dussaud
FEMA,Ferney-V.-Mairie
FENE,La Fenêtre
FESA,Ferme Sarasin
FEUL,Feuillat
FILI,Fillion
FLCE,Florence
FLIZ,Liszt
FLOR,Floralies
FLRI,Florissant
FOAN,Anières-Foyer
FOES,Fontanettes
FOLN,Foulon
FONT,Fontenette
FORU,Forumeyrin
FOSA,Fossard
FOUR,Fourches
FRAN,Franchises
FRDI,Fraidieu
FRET,Fret
FRON,Frontenex
FRRE,Bois-des-Frères
FTAI,Foretaille
FTNE,Les Fontaines
FVDO,Ferney-V.-Douane
GAEV,Gare des Eaux-Vives
GAIN,Gaillardin
GAIU,La Gabiule
GAUL,Gen. De Gaulle
GAUT,Gautier
GAVA,Gavard
GCAN,Grange-Canal
GCHN,Gros-Chêne
GCLB,Grange-Collomb
GCMP,Grand-Champ
GDHA,Grand-Hangar
GDLA,Grand-Lancy
GDON,Grand-Donzel
GEBE,Genthod-Bellevue
GENT,Bois-Gentil
GETE,De-Ternier
GFAQ,Grange-Falquet
GGNY,Germagny
GIAC,Giacometti
GIOL,Gardiol
GLAI,Galaise
GLOU,Galeries du Loup
GMAR,Gaillard-Marché
GOS0,Gos
GOUL,Goulart
GPRE,Grand-Pré
GRAN,Grangettes
GRCA,Grand-Cara
GRDL,Gradelle
GRES,Grésy
GROT,Grottes
GRVI,Meyrin-Gravière
GSAC,Gd-Saconnex-Place
GSDN,Gd-Saconnex-Douane
GSMA,Gd-Saconnex-Mairie
GSON,Graveson
GTVI,Genthod-Village
GUYE,Guye
GVRI,Genévrière
GXAI,Gex-Aiglette
GXGC,Gex-Georges Charpak
GXPO,Gex-Poste
GYBA,Baraque-à-Cloud
GYPO,Gy-Poste
GYTE,Gy-Temple
HACH,Hameau de Chèvres
HAMA,Hauts-de-Magny
HBOD,Henry Bordeaux
HBOR,Henri-Bordier
HERM,Hermance-Village
HIMP,Hôtel des Impôts
HOPI,Hôpital
HTAI,Hautains
HTCH,Hôpital Trois-Chêne
HTIN,Hutins
HTOU,Hôpital de La Tour
HVIL,Hôtel-de-Ville
ICC0,ICC
IFRA,Ile de France
INDE,Coq-d'Inde
INDT,Industrielle
INTR,Intercontinental
ISAM,Mercier
JADA,Musée art histoire
JAGI,Jargilières
JALP,Jardin-Alpin-Vi.
JARB,Jardin Botanique
JBRT,Berthet
JEUN,Rte des Jeunes
JJAC,Jean-Jacques
